data;avermelha;ssimao2;navanhanda;capivara;manso;ita;irape;candonga;dfranc;smesa;pimentalt;colider;baixoig;sobradinho
03/04/2019;4.341696042;4.142705975;4.11948718;3.786073914;2.611117794;3.55071939;4.628238928;3.733882707;3.646469856;4.268576646;4.079286237;3.181085895;2.800548708;4.55001957
04/04/2019;4.299885163;4.283746113;4.368195595;4.136407604;4.377791111;3.615493423;4.765826673;4.396355462;3.074791762;4.004204779;3.759841667;4.43369339;3.341603604;4.300479071
05/04/2019;3.910394035;3.93209125;3.716547368;3.525882373;4.013146389;2.757761378;4.476549972;4.150187932;2.353138841;3.905814335;3.663764971;4.148522298;2.998378845;4.262729809
06/04/2019;3.749581231;3.500087473;3.907034874;3.33213139;2.397577558;1.879907322;4.355506494;4.063042989;2.108356521;3.524723662;3.698699437;2.894224343;2.220430699;3.944407957
07/04/2019;3.613655732;3.681233521;3.183262508;2.51059647;3.264778974;2.03697664;4.351821399;3.911664607;2.251805107;3.243709086;3.162077873;3.505798268;2.360245709;4.137630567
08/04/2019;2.773882211;2.773882796;3.085233914;3.371946922;3.588268242;2.57573277;4.393524198;4.08208678;3.141120778;2.669488814;3.772977178;3.535134992;3.033775605;4.09507462
09/04/2019;3.309598378;3.346959405;3.372127612;2.868614828;3.847438218;3.224394987;3.975515738;3.558069317;3.654911275;4.050492248;3.488853428;3.903466745;3.280433847;3.911013617
10/04/2019;4.057367266;3.790276535;3.953319575;3.646843454;3.88996435;3.509039158;3.456985268;3.175705429;3.734729172;3.543639918;3.3866919;3.832253314;3.401493531;3.584137718
11/04/2019;4.096638595;3.725846061;4.240405305;4.015450664;3.187416228;3.309860616;3.516590358;3.562229611;3.490729062;3.323412425;3.576031585;2.956067742;3.372417743;4.024346207
12/04/2019;3.931612756;3.696366151;4.217263242;4.058923405;4.019391643;3.296511605;3.786632053;4.015629998;3.278765435;3.696871071;4.229661805;4.074333038;3.601000565;4.056332757
13/04/2019;3.21746913;3.57203932;3.120545741;3.941727832;3.721574758;3.504596484;3.799500828;3.830914298;3.337146682;2.952989626;3.510185172;3.695335566;3.680591371;3.728036251
14/04/2019;3.045336779;3.34562759;2.923386463;3.10322368;3.660185061;3.03447973;3.585866769;3.082727863;3.456744682;4.11886616;4.040257954;3.96607472;3.147806651;4.001955573
15/04/2019;3.755444773;3.589717949;3.694189739;3.84893396;3.59161796;3.549873059;3.652642088;2.345851793;3.373272045;3.471464886;3.876756818;3.529284251;3.543062259;3.963872037
16/04/2019;3.689460274;3.306635742;3.902324267;3.455175169;3.194462943;2.394669372;3.851209958;2.804211662;1.603731631;3.863879661;4.085236198;3.836953887;2.970724931;4.306643864
17/04/2019;3.93534746;3.954732629;3.870982566;3.992650935;4.001392697;2.44397525;3.580788573;2.849024491;2.699103828;4.135182389;4.061203192;3.920858796;3.014538471;4.108690858
18/04/2019;3.756533308;3.928011379;3.894721166;4.180332613;4.211643366;3.27015278;4.395757182;3.790720338;3.072505501;4.363302449;4.419914364;4.236897351;3.556461105;4.460988182
19/04/2019;4.155728356;4.240128116;4.221312179;4.346012829;4.395878524;3.475123316;4.426261116;4.023845648;3.451022109;4.393425902;3.889741283;4.122298341;3.793528884;4.285301098
20/04/2019;4.15768203;4.370205347;4.251765486;4.13864593;4.110944186;2.323792046;4.198929948;4.152555148;1.635792903;4.216841051;4.16261378;4.365440332;2.987494576;4.171716101
